tipo,semestre,dia,recurso,turma_id_a,codigo_a,disciplina_a,inicio_a,fim_a,turma_id_b,codigo_b,disciplina_b,inicio_b,fim_b,mesmo_codigo
sala,2026-2,quarta,217,2026-2-TCC00305-A1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,09:00,11:00,2026-2-TCC00305-X1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,09:00,11:00,True
sala,2026-2,quarta,302,2026-2-TCC00252-SEM-TURMA,TCC00252,TÓPICOS EM ENG DE SOFTWARE III - IA GENERATIVA (GRAD. E PÓS),16:00,18:00,2026-2-TCC00308-A1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,16:00,18:00,False
sala,2026-2,segunda,217,2026-2-TCC00305-A1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,09:00,11:00,2026-2-TCC00305-X1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,09:00,11:00,True
