turma_id,semestre,codigo,disciplina,turma,origem,horario_observado,dias_observados,horario_fixo,fonte,validado
2026-2-TCC00305-X1,2026-2,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,X1,IC,segunda 09:00-11:00; quarta 09:00-11:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00306-A1,2026-2,TCC00306,METODOS NUMERICOS,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00307-A1,2026-2,TCC00307,PROGRAMAÇÃO CIENTÍFICA,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00308-A1,2026-2,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00308-B1,2026-2,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,B1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00312-A1,2026-2,TCC00312,PROJETO DE SOFTWARE,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00313-A1,2026-2,TCC00313,REDES DE COMPUTADORES I,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00314-A1,2026-2,TCC00314,REDES DE COMPUTADORES II,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00315-A1,2026-2,TCC00315,SISTEMAS DISTRIBUÍDOS,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00316-A1,2026-2,TCC00316,SISTEMAS OPERACIONAIS,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00318-A1,2026-2,TCC00318,PESQUISA OPERACIONAL,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00324-A1,2026-2,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,A1,IC,sexta 18:00-22:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00328-A1,2026-2,TCC00328,PROG. ORIENTADA A OBJETOS,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00328-B1,2026-2,TCC00328,PROG. ORIENTADA A OBJETOS,B1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00330-A1,2026-2,TCC00330,MODELAGEM DE PROCESSO DE NEGÓCIOS,A1,IC,sexta 18:00-22:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00331-A1,2026-2,TCC00331,ESTRUTURAS DE DADOS PARA SI,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00331-B1,2026-2,TCC00331,ESTRUTURAS DE DADOS PARA SI,B1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00332-A1,2026-2,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00332-B1,2026-2,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00334-A1,2026-2,TCC00334,PRINCIPIO DE BANCO DE DADOS,A1,IC,quarta 18:00-20:00; sexta 18:00-20:00,quarta;sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00335-A1,2026-2,TCC00335,PROJETO DE BANCO DE DADOS,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00336-A1,2026-2,TCC00336,BANCO DE DADOS NÃO CONVENCIONAIS,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00337-A1,2026-2,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00338-A1,2026-2,TCC00338,PROJETO DE SOFTWARE,A1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00341-A1,2026-2,TCC00341,SEGURANÇA DA INFORMAÇÃO,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00344-A1,2026-2,TCC00344,LAB. DE PROGRAMAÇÃO PARALELA,AA,IC,segunda 07:00-09:00; quarta 07:00-09:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00346-AA,2026-2,TCC00346,LAB. DE RESOLUÇÃO DE PROBLEMAS,AA,IC,terca 16:00-18:00,terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00346-BA,2026-2,TCC00346,LAB. DE RESOLUÇÃO DE PROBLEMAS,BA,IC,quinta 16:00-18:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00347-A1,2026-2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00347-B1,2026-2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,B1,IC,terca 14:00-16:00; quinta 14:00-16:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00348-A1,2026-2,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00348-B1,2026-2,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,B1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00349-A1,2026-2,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00354-A1,2026-2,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00354-B1,2026-2,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00355-E-A,2026-2,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00355-F-A,2026-2,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,FA,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00356-A1,2026-2,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00356-B1,2026-2,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,B1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00357-A1,2026-2,TCC00357,PROG. ORIENTADA A OBJETOS I,A1,IC,segunda 18:00-22:00,segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00358-A1,2026-2,TCC00358,SISTEMAS COMPUTACIONAIS,A1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00358-B1,2026-2,TCC00358,SISTEMAS COMPUTACIONAIS,B1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00359-A1,2026-2,TCC00359,REDES DE COMPUTADORES,A1,IC,quarta 20:00-22:00; sexta 20:00-22:00,quarta;sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00360-A1,2026-2,TCC00360,VISUALIZAÇÃO DE DADOS,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00361-A1,2026-2,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,IC,sexta 18:00-22:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00362-A1,2026-2,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SI,A1,IC,terca 18:00-22:00,terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00363-A1,2026-2,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00365-A1,2026-2,TCC00365,QUALIDADE E TESTE DE SOFTWARE,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00366-A1,2026-2,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00366-B1,2026-2,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,B1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00368-A1,2026-2,TCC00368,P.O. PARA S.I. (WEB AVANC.),A1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-2-TCC00371-A1,2026-2,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
