turma_id,semestre,codigo,disciplina,turma,origem,horario_observado,dias_observados,horario_fixo,fonte,validado
2026-1-TCC00296-B1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00297-A1,2026-1,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00298-A1,2026-1,TCC00298,INTERFACE HOMEM-MÁQUINA,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00301-AA,2026-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,AA,IC,terca 11:00-13:00,terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00301-BA,2026-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,BA,IC,quinta 11:00-13:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00304-A1,2026-1,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00305-A1,2026-1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,A1,IC,segunda 07:00-09:00; quarta 07:00-09:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00306-A1,2026-1,TCC00306,MÉTODOS NUMÉRICOS,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00307-B1A1,2026-1,TCC00307,PROGRAMAÇÃO CIENTÍFICA,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00308-A1,2026-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,A1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00308-B1,2026-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,B1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00312-A1,2026-1,TCC00312,PROJETO DE SOFTWARE,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00313-A1,2026-1,TCC00313,REDES DE COMPUTADORES I,A1,IC,terca 07:00-09:00; quinta 07:00-09:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00314-A1,2026-1,TCC00314,REDES DE COMPUTADORES II,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
