codigo,disciplina,origem,setor_historico_2025,dias_observados_2026,dias_setor_historico,setor_oficial,fonte,validado
TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,IC,ALG.CPX.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00286,ARQUITETURAS DE COMPUTADORES,IC,ARQ.SO.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00287,BANCO DE DADOS I,IC,B.D.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00288,BANCO DE DADOS II,IC,B.D.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00289,COMPILADORES,IC,LING.TEOR.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00290,COMPUTAÇÃO E SOCIEDADE,IC,GER.SIST.TI,quinta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00291,COMPUTAÇÃO GRÁFICA,IC,COMP.VIS.JOGOS,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00292,ENGENHARIA DE SOFTWARE I,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00293,ENGENHARIA DE SOFTWARE II,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,IC,ARQ.SO.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00297,INTELIGÊNCIA ARTIFICIAL,IC,IA,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00298,INTERFACE HOMEM MAQUINA,IC,IHC,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00298,INTERFACE HOMEM-MÁQUINA,IC,IHC,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00301,LAB. DE PROGRAMAÇÃO DE JOGOS,IC,COMP.VIS.JOGOS,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,IC,COMP.VIS.JOGOS,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00304,LINGUAGENS DE PROGRAMAÇÃO,IC,LING.TEOR.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,IC,LING.TEOR.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00306,MÉTODOS NUMÉRICOS,IC,COMP.NUM.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00306,METODOS NUMERICOS,IC,COMP.NUM.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00307,PROGRAMAÇÃO CIENTÍFICA,IC,COMP.NUM.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,IC,ESTR.PROG.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00312,PROJETO DE SOFTWARE,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00313,REDES DE COMPUTADORES I,IC,REDES,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00314,REDES DE COMPUTADORES II,IC,REDES,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00315,SISTEMAS DISTRIBUÍDOS,IC,ARQ.SO.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
