turma_id,semestre,codigo,turma,dia,inicio,fim,sala,valor_original
2025-1-TCC00326-K2,2025-1,TCC00326,K2,quinta,14:00,16:00,204,"14/16
204"
2025-1-TCC00326-K3,2025-1,TCC00326,K3,terca,14:00,16:00,202,"14/16
202"
2025-1-TCC00326-K3,2025-1,TCC00326,K3,quinta,14:00,16:00,L302,"14/16
L302"
2025-1-TCC00326-K4,2025-1,TCC00326,K4,terca,14:00,16:00,L305,"14/16
L305"
2025-1-TCC00326-K4,2025-1,TCC00326,K4,quinta,14:00,16:00,206,"14/16
206"
2025-1-TCC00326-L1,2025-1,TCC00326,L1,terca,16:00,18:00,L302,"16/18
L302"
2025-1-TCC00326-L1,2025-1,TCC00326,L1,quinta,16:00,18:00,204,"16/18
204"
2025-1-TCC00243-A1,2025-1,TCC00243,A1,segunda,16:00,18:00,306,"16/18
306"
2025-1-TCC00243-A1,2025-1,TCC00243,A1,quarta,16:00,18:00,306,"16/18
306"
2025-1-TCC00259-A1,2025-1,TCC00259,A1,terca,16:00,18:00,206,"16/18
206"
2025-1-TCC00259-A1,2025-1,TCC00259,A1,quinta,16:00,18:00,206,"16/18
206"
2025-1-TCC00244-A1,2025-1,TCC00244,A1,terca,18:00,20:00,215,"18/20
215"
2025-1-TCC00244-A1,2025-1,TCC00244,A1,quinta,18:00,20:00,215,"18/20
215"
2025-1-TCC00350-A1,2025-1,TCC00350,A1,sexta,09:00,13:00,319,"09/13
319"
2025-1-TCC00250-A1,2025-1,TCC00250,A1,quarta,07:00,09:00,404B,07/09 404B
2025-1-TCC00250-A1,2025-1,TCC00250,A1,sexta,07:00,09:00,404B,07/09 404B
2025-1-TCC00245-A1,2025-1,TCC00245,A1,terca,16:00,18:00,217,"16/18
217"
2025-1-TCC00245-A1,2025-1,TCC00245,A1,quinta,16:00,18:00,217,"16/18
217"
2025-1-TCC00202-A1,2025-1,TCC00202,A1,terca,09:00,11:00,L305,09/11 L305
2025-1-TCC00202-A1,2025-1,TCC00202,A1,quinta,09:00,11:00,L305,09/11 L305
2025-1-TCC00241-A1,2025-1,TCC00241,A1,segunda,18:00,20:00,304,"18/20
304"
2025-1-TCC00241-A1,2025-1,TCC00241,A1,quarta,18:00,20:00,304,"18/20
304"
2025-1-TCC00251-A1,2025-1,TCC00251,A1,terca,11:00,13:00,317,"11/13
317"
2025-1-TCC00251-A1,2025-1,TCC00251,A1,quinta,11:00,13:00,317,"11/13
317"
2025-1-TCC00260-A1,2025-1,TCC00260,A1,terca,14:00,16:00,313,"14/16
313"
2025-1-TCC00260-A1,2025-1,TCC00260,A1,quinta,14:00,16:00,313,"14/16
313"
2025-1-TCC00253-A1,2025-1,TCC00253,A1,segunda,16:00,18:00,L302,"16/18
L302"
2025-1-TCC00253-A1,2025-1,TCC00253,A1,quarta,16:00,18:00,319,"16/18
319"
2025-1-TCC00261-A1,2025-1,TCC00261,A1,segunda,09:00,11:00,302,09/11 302
2025-1-TCC00261-A1,2025-1,TCC00261,A1,quarta,09:00,11:00,302,09/11 302
2025-1-TCC00280-,2025-1,TCC00280,,segunda,14:00,18:00,217,"14/18
217"
2025-1-GCI00126-,2025-1,GCI00126,,sexta,18:00,22:00,302,"18/22
302"
2025-1-GCI00116-,2025-1,GCI00116,,quinta,18:00,22:00,302,"18/22
302"
2025-2-TCC00284-A1,2025-2,TCC00284,A1,terca,09:00,11:00,308,"9/11
308"
2025-2-TCC00284-A1,2025-2,TCC00284,A1,quinta,09:00,11:00,308,"9/11
308"
2025-2-TCC00285-A1,2025-2,TCC00285,A1,terca,11:00,13:00,215,"11/13
215"
2025-2-TCC00285-A1,2025-2,TCC00285,A1,quinta,11:00,13:00,215,"11/13
215"
2025-2-TCC00286-A1,2025-2,TCC00286,A1,terca,09:00,11:00,302,"09/11
302"
2025-2-TCC00286-A1,2025-2,TCC00286,A1,quinta,09:00,11:00,302,"09/11
302"
2025-2-TCC00286-B1,2025-2,TCC00286,B1,terca,09:00,11:00,308,"09/11
308"
2025-2-TCC00286-B1,2025-2,TCC00286,B1,quinta,09:00,11:00,308,"09/11
308"
2025-2-TCC00349-A1,2025-2,TCC00349,A1,terca,07:00,09:00,204,"07/09
204"
2025-2-TCC00349-A1,2025-2,TCC00349,A1,quinta,07:00,09:00,204,"07/09
204"
2025-2-TCC00336-A1,2025-2,TCC00336,A1,segunda,20:00,22:00,,20/22
2025-2-TCC00336-A1,2025-2,TCC00336,A1,quarta,20:00,22:00,,20/22
2025-2-TCC00287-A1,2025-2,TCC00287,A1,segunda,07:00,09:00,215,"07/09
215"
2025-2-TCC00287-A1,2025-2,TCC00287,A1,quarta,07:00,09:00,215,"07/09
215"
2025-2-TCC00288-A1,2025-2,TCC00288,A1,segunda,11:00,13:00,215,"11/13
215"
2025-2-TCC00288-A1,2025-2,TCC00288,A1,quarta,11:00,13:00,215,"11/13
215"
2025-2-TCC00289-A1,2025-2,TCC00289,A1,segunda,07:00,09:00,308,"7/9
308"
2025-2-TCC00289-A1,2025-2,TCC00289,A1,quarta,07:00,09:00,308,"7/9
308"
2025-2-TCC00290-A1,2025-2,TCC00290,A1,quinta,11:00,13:00,217,"11/13
217"
2025-2-TCC00222-A1,2025-2,TCC00222,A1,quinta,18:00,22:00,215,"18/22
215"
2025-2-TCC00291-A1,2025-2,TCC00291,A1,segunda,11:00,13:00,319,"11/13
319"
2025-2-TCC00291-A1,2025-2,TCC00291,A1,quarta,11:00,13:00,319,"11/13
319"
2025-2-TCC00226-A1,2025-2,TCC00226,A1,segunda,09:00,11:00,L302,"09/11
L302"
2025-2-TCC00226-A1,2025-2,TCC00226,A1,quarta,09:00,11:00,L302,"09/11
L302"
2025-2-TCC00368-A1,2025-2,TCC00368,A1,terca,20:00,22:00,313,"20/22
313"
2025-2-TCC00368-A1,2025-2,TCC00368,A1,quinta,20:00,22:00,313,"20/22
313"
2025-2-TCC00225-A1,2025-2,TCC00225,A1,segunda,18:00,20:00,,18/20
2025-2-TCC00225-A1,2025-2,TCC00225,A1,quarta,18:00,20:00,,18/20
2025-2-TCC00292-A1,2025-2,TCC00292,A1,segunda,09:00,11:00,213,"09/11
213"
