id,semestre,codigo,codigo_original,codigo_interno,disciplina,turma,turma_original,origem_codigo,categoria_observada,alocacao,professores,professores_qtd,alocacao_original,normalizacao_docente_verificada,status,pendencias,pagina_pdf,posicao_y,arquivo_origem
2026-1-TCC00331-B1,2026-1,TCC00331,TCC00331,TCC00331,ESTRUTURAS DE DADOS PARA SI,B1,B1,IC,nao_informada,Raphael Machado,Raphael Machado,1,RAPHAEL MACHADO,True,ativa,,2,138.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00371-A1,2026-1,TCC00371,TCC00371,TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,A1,A1,IC,nao_informada,Mariza,Mariza,1,MARIZA FERRO,True,ativa,,2,166.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-A1,2026-1,TCC00296,TCC00296,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,A1,IC,nao_informada,Vinod,Vinod,1,EUGENE FRANCIS VINOD,True,ativa,,2,195.535,dados/brutos/QH-2026-1.pdf
2026-1-TCC00296-B1,2026-1,TCC00296,TCC00296,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,B1,IC,nao_informada,Aline Nascimento,Aline Nascimento,1,ALINE NASCIMENTO,True,ativa,,2,224.095,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-A1,2026-1,TCC00332,TCC00332,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,A1,IC,nao_informada,Leo Cruz,Leo Cruz,1,LEONARDO CRUZ,True,ativa,,2,252.655,dados/brutos/QH-2026-1.pdf
2026-1-TCC00332-B1,2026-1,TCC00332,TCC00332,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,B1,IC,nao_informada,Leo Cruz,Leo Cruz,1,LEONARDO CRUZ,True,ativa,,2,281.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-A1,2026-1,TCC00354,TCC00354,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,A1,IC,nao_informada,Raquel,Raquel,1,RAQUEL BRAVO,True,ativa,,2,309.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00354-B1,2026-1,TCC00354,TCC00354,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,B1,IC,nao_informada,Martinhon,Martinhon,1,CARLOS MARTINHON,True,ativa,,2,338.335,dados/brutos/QH-2026-1.pdf
2026-1-TCC00363-A1,2026-1,TCC00363,TCC00363,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,A1,IC,nao_informada,Joao Pimentel,Joao Pimentel,1,JOÃO PIMENTEL,True,ativa,,2,366.895,dados/brutos/QH-2026-1.pdf
2026-1-TCC00324-A1,2026-1,TCC00324,TCC00324,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,A1,A1,IC,nao_informada,Luciana,Luciana,1,LUCIANA SALGADO,True,ativa,,2,395.455,dados/brutos/QH-2026-1.pdf
2026-1-TCC00297-A1,2026-1,TCC00297,TCC00297,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,A1,IC,nao_informada,Taiane,Taiane,1,TAIANE COELHO,True,ativa,,2,424.015,dados/brutos/QH-2026-1.pdf
2026-1-TCC00298-A1,2026-1,TCC00298,TCC00298,TCC00298,INTERFACE HOMEM-MÁQUINA,A1,A1,IC,nao_informada,Daniela,Daniela,1,DANIELA TREVISAN,True,ativa,,2,452.575,dados/brutos/QH-2026-1.pdf
2026-1-TCC00337-A1,2026-1,TCC00337,TCC00337,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,A1,IC,nao_informada,Luciana,Luciana,1,LUCIANA SALGADO,True,ativa,,2,481.135,dados/brutos/QH-2026-1.pdf
2026-1-TCC00361-A1,2026-1,TCC00361,TCC00361,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,A1,IC,nao_informada,Paulo Pires,Paulo Pires,1,PAULO PIRES,True,ativa,,2,509.695,dados/brutos/QH-2026-1.pdf
2026-1-TCC00301-AA,2026-1,TCC00301,TCC00301,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,AA,AA,IC,nao_informada,Esteban,Esteban,1,ESTEBAN CLUA,True,ativa,,3,52.735,dados/brutos/QH-2026-1.pdf
2026-1-TCC00301-BA,2026-1,TCC00301,TCC00301,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,BA,BA,IC,nao_informada,Esteban,Esteban,1,ESTEBAN CLUA,True,ativa,,3,81.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00344-AA,2026-1,TCC00344,TCC00344,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,AA,AA,IC,nao_informada,Lucia,Lucia,1,LUCIA DRUMMOND,True,ativa,,3,109.855,dados/brutos/QH-2026-1.pdf
2026-1-TCC00346-AA,2026-1,TCC00346,TCC00346,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,AA,AA,IC,nao_informada,Leandro Fernandes,Leandro Fernandes,1,LEANDRO FERNANDES,True,ativa,,3,138.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00346-BA,2026-1,TCC00346,TCC00346,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,BA,BA,IC,nao_informada,Leandro Fernandes,Leandro Fernandes,1,LEANDRO FERNANDES,True,ativa,,3,166.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00355-EA,2026-1,TCC00355,TCC00355,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,EA,IC,nao_informada,Mauricio,Mauricio,1,MAURICIO PIRES,True,ativa,,3,195.535,dados/brutos/QH-2026-1.pdf
2026-1-TCC00355-FA,2026-1,TCC00355,TCC00355,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,FA,FA,IC,nao_informada,Andre Silveira,Andre Silveira,1,ANDRÉ SILVEIRA,True,ativa,,3,224.095,dados/brutos/QH-2026-1.pdf
2026-1-TCC00304-A1,2026-1,TCC00304,TCC00304,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,A1,IC,nao_informada,Bruno,Bruno,1,BRUNO LOPES,True,ativa,,3,252.655,dados/brutos/QH-2026-1.pdf
2026-1-TCC00305-A1,2026-1,TCC00305,TCC00305,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,A1,A1,IC,nao_informada,Luis Felipe,Luis Felipe,1,LUIS FELIPE,True,ativa,,3,281.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00306-A1,2026-1,TCC00306,TCC00306,TCC00306,MÉTODOS NUMÉRICOS,A1,A1,IC,nao_informada,Andre Brabo,Andre Brabo,1,ANDRE MAUES,True,ativa,,3,309.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00330-A1,2026-1,TCC00330,TCC00330,TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,A1,A1,IC,nao_informada,Flavio Seixas,Flavio Seixas,1,FLAVIO SEIXAS,True,ativa,,3,338.335,dados/brutos/QH-2026-1.pdf
2026-1-TCC00318-A1,2026-1,TCC00318,TCC00318,TCC00318,PESQUISA OPERACIONAL,A1,A1,IC,nao_informada,Satoru,Satoru,1,LUIZ SATORU,True,ativa,,3,366.895,dados/brutos/QH-2026-1.pdf
2026-1-TCC00368-A1,2026-1,TCC00368,TCC00368,TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,A1,A1,IC,nao_informada,Yuri,Yuri,1,YURI ABITBOL DE MENEZES,True,ativa,,3,395.455,dados/brutos/QH-2026-1.pdf
2026-1-TCC00334-A1,2026-1,TCC00334,TCC00334,TCC00334,PRINCÍPIOS DE BANCO DE DADOS,A1,A1,IC,nao_informada,Daniel,Daniel,1,DANIEL CARDOSO,True,ativa,,3,424.015,dados/brutos/QH-2026-1.pdf
2026-1-TCC00307-B1A1,2026-1,TCC00307,TCC00307,TCC00307,PROGRAMAÇÃO CIENTÍFICA,B1A1,B1A1,IC,nao_informada,Ricardo,Ricardo,1,RICARDO LEIDERMAN,True,ativa,,3,452.575,dados/brutos/QH-2026-1.pdf
2026-1-TCC00366-A1,2026-1,TCC00366,TCC00366,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,A1,A1,IC,nao_informada,Andre Renato,Andre Renato,1,ANDRE RENATO,True,ativa,,3,481.135,dados/brutos/QH-2026-1.pdf
2026-1-TCC00366-B1,2026-1,TCC00366,TCC00366,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,B1,B1,IC,nao_informada,Leo Cruz,Leo Cruz,1,LEONARDO CRUZ,True,ativa,,3,509.695,dados/brutos/QH-2026-1.pdf
2026-1-TCC00308-A1,2026-1,TCC00308,TCC00308,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,A1,A1,IC,nao_informada,Anselmo,Anselmo,1,ANSELMO ANTUNES,True,ativa,,4,52.735,dados/brutos/QH-2026-1.pdf
2026-1-TCC00308-B1,2026-1,TCC00308,TCC00308,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,B1,B1,IC,nao_informada,Igor Machado,Igor Machado,1,IGOR COELHO,True,ativa,,4,81.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00356-A1,2026-1,TCC00356,TCC00356,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,A1,A1,IC,nao_informada,Patrick,Patrick,1,PATRICK,True,ativa,,4,109.855,dados/brutos/QH-2026-1.pdf
2026-1-TCC00356-B1,2026-1,TCC00356,TCC00356,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,B1,B1,IC,nao_informada,Patrick,Patrick,1,PATRICK,True,ativa,,4,138.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-X1,2026-1,TCC00347,TCC00347,TCC00347,PROGRAMAÇÃO ESTRUTURADA,X1,X1,IC,nao_informada,Cristina Boeres,Cristina Boeres,1,MARIA BOERES,True,ativa,,4,166.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-A1,2026-1,TCC00347,TCC00347,TCC00347,PROGRAMAÇÃO ESTRUTURADA,A1,A1,IC,nao_informada,Yuri,Yuri,1,YURI ABITBOL,True,ativa,,4,195.535,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-B1,2026-1,TCC00347,TCC00347,TCC00347,PROGRAMAÇÃO ESTRUTURADA,B1,B1,IC,nao_informada,Aline Nascimento,Aline Nascimento,1,ALINE NASCIMENTO,True,ativa,,4,224.095,dados/brutos/QH-2026-1.pdf
2026-1-TCC00328-A1,2026-1,TCC00328,TCC00328,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,A1,A1,IC,nao_informada,Rebeca,Rebeca,1,REBECA,True,ativa,,4,252.655,dados/brutos/QH-2026-1.pdf
2026-1-TCC00328-B1,2026-1,TCC00328,TCC00328,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,B1,B1,IC,nao_informada,Rebeca,Rebeca,1,REBECA,True,ativa,,4,281.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00357-A1,2026-1,TCC00357,TCC00357,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,A1,A1,IC,nao_informada,Andre Renato,Andre Renato,1,ANDRE RENATO,True,ativa,,4,309.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00335-A1,2026-1,TCC00335,TCC00335,TCC00335,PROJETO DE BANCO DE DADOS PARA SI,A1,A1,IC,nao_informada,Marcos Bedo,Marcos Bedo,1,MARCOS BEDO,True,ativa,,4,338.335,dados/brutos/QH-2026-1.pdf
