turma_id,semestre,codigo,disciplina,turma,correspondencia_2025,cursos_observados_2025,periodos_observados_2025,obrigatoria_em_algum_registro_2025,registros_correspondentes_2025,incorporado_como_fato_2026,fonte
2026-1-TCC00297-A1,2026-1,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,True,31,CC-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00298-A1,2026-1,TCC00298,INTERFACE HOMEM-MÁQUINA,A1,True,31,CC-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00337-A1,2026-1,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,True,83,SI-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00361-A1,2026-1,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,True,83,SI-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00301-AA,2026-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,AA,True,31,CC-P2;CC-P2-A,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00301-BA,2026-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,BA,True,31,CC-P2;CC-P2-A,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00344-AA,2026-1,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,AA,True,31,CC-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00346-AA,2026-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,AA,True,31,CC-P1-A;CC-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00346-BA,2026-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,BA,True,31,CC-P1-A;CC-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00355-EA,2026-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00355-FA,2026-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,FA,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00304-A1,2026-1,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,True,31,CC-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00305-A1,2026-1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00306-A1,2026-1,TCC00306,MÉTODOS NUMÉRICOS,A1,True,31,CC-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00330-A1,2026-1,TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,A1,True,83,SI-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00318-A1,2026-1,TCC00318,PESQUISA OPERACIONAL,A1,True,31,CC-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00368-A1,2026-1,TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,A1,True,83,SI-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00334-A1,2026-1,TCC00334,PRINCÍPIOS DE BANCO DE DADOS,A1,True,83,SI-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00307-B1A1,2026-1,TCC00307,PROGRAMAÇÃO CIENTÍFICA,B1A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00366-A1,2026-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,A1,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00366-B1,2026-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,B1,True,83,SI-P1;SI-P1-A;SI-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
