turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00318-A1,2026-1,TCC00318,A1,2,quinta,09:00,11:00,217,09:00-11:00,SALA 217,09:00-11:00 SALA 217,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00368-A1,2026-1,TCC00368,A1,1,sexta,18:00,22:00,217,18:00-22:00,SALA 217,18:00-22:00 SALA 217,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00334-A1,2026-1,TCC00334,A1,1,segunda,18:00,20:00,321,18:00-20:00,SALA 321,18:00-20:00 SALA 321,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00334-A1,2026-1,TCC00334,A1,2,quarta,18:00,20:00,321,18:00-20:00,SALA 321,18:00-20:00 SALA 321,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00307-B1A1,2026-1,TCC00307,B1A1,1,terca,11:00,13:00,404B,11:00-13:00,SALA 404B,11:00-13:00 SALA 404B,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00307-B1A1,2026-1,TCC00307,B1A1,2,quinta,11:00,13:00,404B,11:00-13:00,SALA 404B,11:00-13:00 SALA 404B,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00366-A1,2026-1,TCC00366,A1,1,segunda,18:00,20:00,404B,18:00-20:00,SALA 404B,18:00-20:00 SALA 404B,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00366-A1,2026-1,TCC00366,A1,2,quarta,18:00,20:00,L302,18:00-20:00,LAB. 302,18:00-20:00 LAB. 302,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00366-B1,2026-1,TCC00366,B1,1,segunda,18:00,20:00,308,18:00-20:00,SALA 308,18:00-20:00 SALA 308,3,dados/brutos/QH-2026-1.pdf
2026-1-TCC00366-B1,2026-1,TCC00366,B1,2,quarta,18:00,20:00,308,18:00-20:00,SALA 308,18:00-20:00 SALA 308,3,dados/brutos/QH-2026-1.pdf
