codigo,disciplina,usou_sala_comum,usou_laboratorio,alternou_tipo_de_sala,salas_observadas,requer_laboratorio,recursos_requeridos,fonte,validado
TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,True,False,False,206;217,,,horarios_2026_cc_si.csv,
TCC00306,MÉTODOS NUMÉRICOS,True,False,False,302,,,horarios_2026_cc_si.csv,
TCC00306,METODOS NUMERICOS,True,False,False,206,,,horarios_2026_cc_si.csv,
TCC00307,PROGRAMAÇÃO CIENTÍFICA,True,False,False,206;404B,,,horarios_2026_cc_si.csv,
TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,True,True,True,202;302;308;L306;L307,,,horarios_2026_cc_si.csv,
TCC00312,PROJETO DE SOFTWARE,True,False,False,213,,,horarios_2026_cc_si.csv,
TCC00313,REDES DE COMPUTADORES I,True,False,False,215;404B,,,horarios_2026_cc_si.csv,
TCC00314,REDES DE COMPUTADORES II,True,False,False,215;404B,,,horarios_2026_cc_si.csv,
TCC00315,SISTEMAS DISTRIBUÍDOS,True,False,False,215;319,,,horarios_2026_cc_si.csv,
TCC00316,SISTEMAS OPERACIONAIS,True,False,False,204;321,,,horarios_2026_cc_si.csv,
TCC00318,PESQUISA OPERACIONAL,True,False,False,217;302,,,horarios_2026_cc_si.csv,
TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,True,False,False,217;302,,,horarios_2026_cc_si.csv,
TCC00328,PROG. ORIENTADA A OBJETOS,True,True,True,306;L305;L306,,,horarios_2026_cc_si.csv,
TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,True,True,True,302;L302;L304,,,horarios_2026_cc_si.csv,
TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00330,MODELAGEM DE PROCESSO DE NEGÓCIOS,True,False,False,321,,,horarios_2026_cc_si.csv,
TCC00331,ESTRUTURAS DE DADOS PARA SI,True,True,True,202;204;206;302;L307,,,horarios_2026_cc_si.csv,
TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,True,False,False,317,,,horarios_2026_cc_si.csv,
TCC00334,PRINCIPIO DE BANCO DE DADOS,False,True,False,L302,,,horarios_2026_cc_si.csv,
TCC00334,PRINCÍPIOS DE BANCO DE DADOS,True,False,False,321,,,horarios_2026_cc_si.csv,
TCC00335,PROJETO DE BANCO DE DADOS,True,False,False,321,,,horarios_2026_cc_si.csv,
TCC00335,PROJETO DE BANCO DE DADOS PARA SI,True,False,False,204,,,horarios_2026_cc_si.csv,
TCC00336,BANCO DE DADOS NÃO CONVENCIONAIS,False,True,False,L302,,,horarios_2026_cc_si.csv,
TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,True,True,True,204;L302,,,horarios_2026_cc_si.csv,
TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,True,False,False,217;321,,,horarios_2026_cc_si.csv,
TCC00338,PROJETO DE SOFTWARE,True,False,False,202,,,horarios_2026_cc_si.csv,
TCC00341,SEGURANÇA DA INFORMAÇÃO,True,False,False,204;206,,,horarios_2026_cc_si.csv,
TCC00344,LAB. DE PROGRAMAÇÃO PARALELA,False,True,False,L306,,,horarios_2026_cc_si.csv,
TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,False,True,False,L306,,,horarios_2026_cc_si.csv,
TCC00346,LAB. DE RESOLUÇÃO DE PROBLEMAS,False,True,False,L305,,,horarios_2026_cc_si.csv,
TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,False,True,False,L305,,,horarios_2026_cc_si.csv,
TCC00347,PROGRAMAÇÃO ESTRUTURADA,True,True,True,202;204;404B;L305;L306,,,horarios_2026_cc_si.csv,
TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,True,False,False,202;204;217;313,,,horarios_2026_cc_si.csv,
