setor,semestre,encontros,duracoes_min,dias,turmas_observadas,codigos,fonte
IA,2025-2,2,120;120,terca;quinta,1,TCC00297,padroes observados na planilha QH 2025; proxy nao oficial
IHC,2025-1,2,120;120,segunda;quarta,2,TCC00298;TCC00337,padroes observados na planilha QH 2025; proxy nao oficial
IHC,2025-2,1,240,quinta,1,TCC00337,padroes observados na planilha QH 2025; proxy nao oficial
IHC,2025-2,2,120;120,segunda;quarta,1,TCC00298,padroes observados na planilha QH 2025; proxy nao oficial
LING.TEOR.,2025-1,2,120;120,segunda;quarta,3,TCC00289;TCC00304;TCC00305,padroes observados na planilha QH 2025; proxy nao oficial
LING.TEOR.,2025-2,2,120;120,segunda;quarta,3,TCC00289;TCC00304;TCC00305,padroes observados na planilha QH 2025; proxy nao oficial
PROJ.FINAL,2025-1,1,240,sabado,1,TCC00311,padroes observados na planilha QH 2025; proxy nao oficial
PROJ.FINAL.II,2025-2,1,240,sabado,1,TCC00311,padroes observados na planilha QH 2025; proxy nao oficial
REDES,2025-1,2,120;120,segunda;quarta,2,TCC00341;TCC00359,padroes observados na planilha QH 2025; proxy nao oficial
REDES,2025-1,2,120;120,terca;quinta,3,TCC00313;TCC00314;TCC00349,padroes observados na planilha QH 2025; proxy nao oficial
REDES,2025-2,1,240,quarta,1,TCC00341,padroes observados na planilha QH 2025; proxy nao oficial
REDES,2025-2,2,120;120,quarta;sexta,1,TCC00359,padroes observados na planilha QH 2025; proxy nao oficial
REDES,2025-2,2,120;120,terca;quinta,3,TCC00313;TCC00314;TCC00349,padroes observados na planilha QH 2025; proxy nao oficial
