id,semestre,curso,periodo,ch_ob,ch_op,capacidade,codigo,disciplina,turma,setor,alocacao,codigo_horario,origem,linha_planilha
2025-1-TCC00284-A1,2025-1,31,CC-P6,4.0,,68,TCC00284,ALGORITMOS EM GRAFOS,A1,ALG.CPX.,Fabio,6_09_13,IC,3
2025-1-TCC00285-A1,2025-1,31,CC-P5,4.0,,79,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,ALG.CPX.,Luis Felipe,3_5_11_13,IC,4
2025-1-TCC00286-A1,2025-1,31,CC-P3-A,4.0,,54,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,ARQ.SO.,Vinod,3_5_09_11,IC,5
2025-1-TCC00286-B1,2025-1,31,CC-P3-B,4.0,,50,TCC00286,ARQUITETURAS DE COMPUTADORES,B1,ARQ.SO.,Leandro Santiago,3_5_09_11,IC,6
2025-1-TCC00349-A1,2025-1,31,CC-P5,4.0,,52,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,REDES,Guto,3_5_09_11,IC,7
2025-1-TCC00336-A1,2025-1,83,SI-P6,4.0,,61,TCC00336,BANCO DE DADOS NÃO CONVENCIONAIS,A1,B.D.,Marcos Bedo,2_4_20_22,IC,8
2025-1-TCC00287-A1,2025-1,31,CC-P4,4.0,,61,TCC00287,BANCO DE DADOS I,A1,B.D.,Rodrigo,2_4_09_11,IC,9
2025-1-TCC00288-A1,2025-1,31,CC-P5,4.0,,50,TCC00288,BANCO DE DADOS II,A1,B.D.,Luiz Andre,2_4_07_09,IC,10
2025-1-TCC00289-A1,2025-1,31,CC-P7,4.0,,,TCC00289,COMPILADORES,A1,LING.TEOR.,Christiano,2_4_09_11,IC,11
2025-1-TCC00290-A1,2025-1,31,CC-P8,2.0,,60,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,GER.SIST.TI,Jose Raphael,5_11_13,IC,12
2025-1-TCC00222-A1,2025-1,83,SI-P8,4.0,,79,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SISTEMAS DE INFORMAÇÃO,A1,GER.SIST.TI,Jose Raphael,5_18_22,IC,13
2025-1-TCC00291-A1,2025-1,31,CC-P6,4.0,,45,TCC00291,COMPUTAÇÃO GRÁFICA,A1,COMP.VIS.JOGOS,Aura,2_4_11_13,IC,14
2025-1-TCC00226-A1,2025-1,31,CC-P5,4.0,,50,TCC00226,DESENVOLVIMENTO WEB,A1,ENG.SOFT.,Carlos Ribeiro,2_4_09_11,IC,15
2025-1-TCC00226-X1,2025-1,31,CC-P5,4.0,,50,TCC00226,DESENVOLVIMENTO WEB,X1,ENG.SOFT.,Carlos Ribeiro,2_4_09_11,IC,16
2025-1-TCC00368-A1,2025-1,83,SI-P7,4.0,,68,TCC00368,WEB AVANC. / PESQUISA OPERACIONAL PARA SI,A1,ALG.CPX.,Yuri,6_18_22,IC,17
2025-1-TCC00225-A1,2025-1,83,SI-P5,4.0,,60,TCC00225,ENGENHARIA DE SOFTWARE,A1,ENG.SOFT.,Rebeca,3_5_18_20,IC,18
2025-1-TCC00292-A1,2025-1,31,CC-P4,4.0,,93,TCC00292,ENGENHARIA DE SOFTWARE I,A1,ENG.SOFT.,Leo Murta,6_09_13,IC,19
2025-1-TCC00293-A1,2025-1,31,CC-P6,4.0,,60,TCC00293,ENGENHARIA DE SOFTWARE II,A1,ENG.SOFT.,Troy,2_4_09_11,IC,20
2025-1-TCC00348-A1,2025-1,31,CC-P3-A,4.0,,93,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,A1,ESTR.PROG.,Rosseti,3_5_11_13,IC,21
2025-1-TCC00348-B1,2025-1,31,CC-P3-B,4.0,,45,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,B1,ESTR.PROG.,Kowada,3_5_11_13,IC,22
2025-1-TCC00331-A1,2025-1,83,SI-P3-A,4.0,,93,TCC00331,ESTRUTURAS DE DADOS PARA SISTEMAS DE INFORMAÇÃO,A1,ESTR.PROG.,Taiane,2_4_18_20,IC,23
2025-1-TCC00331-X1,2025-1,83,SI-P3-B,4.0,,50,TCC00331,ESTRUTURAS DE DADOS PARA SISTEMAS DE INFORMAÇÃO,X1,ESTR.PROG.,Andre Renato,3_5_20_22,IC,24
2025-1-TCC00296-A1,2025-1,31,CC-P1-A,4.0,,54,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,ARQ.SO.,Vinod,3_5_14_16,IC,25
2025-1-TCC00296-B1,2025-1,31,CC-P1-B,4.0,,61,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,ARQ.SO.,Aline Nascimento,3_5_14_16,IC,26
2025-1-TCC00332-A1,2025-1,83,SI-P1-A,4.0,,45,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,GER.SIST.TI,Leo Cruz,3_5_18_20,IC,27
2025-1-TCC00332-B1,2025-1,83,SI-P1-B,4.0,,43,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,GER.SIST.TI,Rodrigo,3_5_20_22,IC,28
2025-1-TCC00354-A1,2025-1,83,SI-P1-A,4.0,,52,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,A1,ALG.CPX.,Raquel,3_5_18_20,IC,29
2025-1-TCC00354-B1,2025-1,83,SI-P1-B,4.0,,52,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,B1,ALG.CPX.,Martinhon,3_5_20_22,IC,30
2025-1-TCC00363-A1,2025-1,83,SI-P7,4.0,,52,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,A1,ENG.SOFT.,Joao Pimentel,3_5_20_22,IC,31
2025-1-TCC00324-A1,2025-1,83,SI-P8,4.0,,52,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,A1,GER.SIST.TI,Luciana,2_4_20_22,IC,32
2025-1-TCC00297-A1,2025-1,31,CC-P7,4.0,,52,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,IA,Aline Paes,3_5_11_13,IC,33
2025-1-TCC00298-A1,2025-1,31,CC-P7,4.0,,52,TCC00298,INTERFACE HOMEM MAQUINA,A1,IHC,Daniela,2_4_11_13,IC,34
2025-1-TCC00337-A1,2025-1,83,SI-P5,4.0,,68,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,IHC,Luciana,2_4_18_20,IC,35
2025-1-TCC00361-A1,2025-1,83,SI-P6,4.0,,55,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,ENG.SOFT.,Heleno,6_18_22,IC,36
2025-1-TCC00300-A-A/B-A,2025-1,-31,CC-P4,4.0,,0,TCC00300,(SOMENTE 2025.2) LAB DISPOSITIVOS MÓVEIS,A-A/B-A,ARQ.SO.,,,IC,37
2025-1-TCC00301-A-A/B-A,2025-1,31,CC-P2-A,4.0,,36,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,A-A/B-A,COMP.VIS.JOGOS,Esteban,3_5_11_13,IC,38
2025-1-TCC00344-A1,2025-1,31,CC-P7,4.0,,36,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA,A1,ARQ.SO.,Lucia,2_4_07_09,IC,39
2025-1-TCC00346-A-A/C-A,2025-1,31,CC-P1-A,4.0,,36,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,A-A/C-A,ESTR.PROG.,Mario,3_5_16_18,IC,40
2025-1-TCC00346-B-A/D-A,2025-1,31,CC-P1-B,4.0,,36,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,B-A/D-A,ESTR.PROG.,Andre Renato,3_5_16_18,IC,41
2025-1-TCC00355-E-A,2025-1,83,SI-P1-A,4.0,,38,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,E-A,ESTR.PROG.,Leo Cruz,2_4_20_22,IC,42
2025-1-TCC00355-F-A,2025-1,83,SI-P1-B,4.0,,55,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,F-A,ESTR.PROG.,Leandro Fernandes,2_4_20_22,IC,43
2025-1-TCC00304-A1,2025-1,31,CC-P4,4.0,,79,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,LING.TEOR.,Christiano,2_4_11_13,IC,44
