id,semestre,curso,periodo,grupos_curriculares,codigo,disciplina,turma,turma_pdf,origem,alocacao,professores,capacidade,inscritos,obrigatoria,compartilhada_cc_si,compartilhada_vagas_cc_si,turma_url,metodo_vinculo
2026-1-TCC00285-A1,2026-1,CC,,CC-P5,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,A1,A1,IC,Fabio,Fabio,58,54,True,False,False,/graduacao/quadrodehorarios/turmas/100000447035,turma_e_encontros_exatos
2026-1-TCC00285-B1,2026-1,CC,,CC-P5,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,B1,B1,IC,Loana,Loana,58,48,True,False,False,/graduacao/quadrodehorarios/turmas/100000447036,turma_e_encontros_exatos
2026-1-TCC00286-A1,2026-1,CC,,CC-P3,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,A1,IC,Vinod,Vinod,66,63,True,False,False,/graduacao/quadrodehorarios/turmas/100000447037,turma_e_encontros_exatos
2026-1-TCC00287-A1,2026-1,CC,,CC-P4,TCC00287,BANCO DE DADOS I,A1,A1,IC,Luiz Andre,Luiz Andre,63,22,True,False,False,/graduacao/quadrodehorarios/turmas/100000447042,turma_e_encontros_exatos
2026-1-TCC00288-A1,2026-1,CC,,CC-P5,TCC00288,BANCO DE DADOS II,A1,A1,IC,Rodrigo,Rodrigo,84,78,True,False,True,/graduacao/quadrodehorarios/turmas/100000447043,turma_e_encontros_exatos
2026-1-TCC00289-A1,2026-1,CC,,CC-P7,TCC00289,COMPILADORES,A1,A1,IC,Bruno,Bruno,61,54,True,False,True,/graduacao/quadrodehorarios/turmas/100000447044,turma_e_encontros_exatos
2026-1-TCC00290-A1,2026-1,CC,,CC-P8,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,A1,IC,Jose Raphael,Jose Raphael,50,47,True,False,False,/graduacao/quadrodehorarios/turmas/100000447045,turma_e_encontros_exatos
2026-1-TCC00291-A1,2026-1,CC,,CC-P6,TCC00291,COMPUTAÇÃO GRÁFICA,A1,A1,IC,Aura,Aura,51,40,True,False,False,/graduacao/quadrodehorarios/turmas/100000447047,turma_e_encontros_exatos
2026-1-TCC00292-A1,2026-1,CC,,CC-P4,TCC00292,ENGENHARIA DE SOFTWARE I,A1,A1,IC,Leo Murta,Leo Murta,66,37,True,False,True,/graduacao/quadrodehorarios/turmas/100000447052,turma_e_encontros_exatos
2026-1-TCC00293-A1,2026-1,CC,,CC-P6,TCC00293,ENGENHARIA DE SOFTWARE II,A1,A1,IC,Troy,Troy,61,59,True,False,False,/graduacao/quadrodehorarios/turmas/100000447053,turma_e_encontros_exatos
2026-1-TCC00296-A1,2026-1,CC,,CC-P1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,A1,IC,Vinod,Vinod,63,55,True,False,False,/graduacao/quadrodehorarios/turmas/100000447059,turma_e_encontros_exatos
2026-1-TCC00296-B1,2026-1,CC,,CC-P1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,B1,IC,Aline Nascimento,Aline Nascimento,52,34,True,False,False,/graduacao/quadrodehorarios/turmas/100000447060,turma_e_encontros_exatos
2026-1-TCC00297-A1,2026-1,CC,,CC-P7,TCC00297,INTELIGÊNCIA ARTIFICIAL,A1,A1,IC,Taiane,Taiane,68,64,True,False,False,/graduacao/quadrodehorarios/turmas/100000447070,turma_e_encontros_exatos
2026-1-TCC00298-A1,2026-1,CC,,CC-P7,TCC00298,INTERFACE HOMEM-MÁQUINA,A1,A1,IC,Daniela,Daniela,62,53,True,False,True,/graduacao/quadrodehorarios/turmas/100000447071,turma_e_encontros_exatos
2026-1-TCC00301-AA,2026-1,CC;SI,,CC-OPT;CC-P2;SI-OPT,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,AA,AA,IC,Esteban,Esteban,35,33,True,True,False,/graduacao/quadrodehorarios/turmas/100000447210,turma_e_encontros_exatos
2026-1-TCC00301-BA,2026-1,CC;SI,,CC-OPT;CC-P2;SI-OPT,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,BA,BA,IC,Esteban,Esteban,44,32,True,True,True,/graduacao/quadrodehorarios/turmas/100000447212,turma_e_encontros_exatos
2026-1-TCC00304-A1,2026-1,CC,,CC-P4,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,A1,A1,IC,Bruno,Bruno,68,66,True,False,False,/graduacao/quadrodehorarios/turmas/100000447074,turma_e_encontros_exatos
2026-1-TCC00305-A1,2026-1,CC,,CC-P6,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,A1,A1,IC,Luis Felipe,Luis Felipe,70,49,True,False,False,/graduacao/quadrodehorarios/turmas/100000447075,turma_e_encontros_exatos
2026-1-TCC00306-A1,2026-1,CC,,CC-P4,TCC00306,MÉTODOS NUMÉRICOS,A1,A1,IC,Andre Brabo,Andre Brabo,46,34,True,False,False,/graduacao/quadrodehorarios/turmas/100000447076,turma_e_encontros_exatos
2026-1-TCC00307-B1A1,2026-1,CC,,CC-P6,TCC00307,PROGRAMAÇÃO CIENTÍFICA,A1,B1A1,IC,Ricardo,Ricardo,59,53,True,False,False,/graduacao/quadrodehorarios/turmas/100000447080,turma_contida_e_encontros_contidos
2026-1-TCC00308-A1,2026-1,CC,,CC-P1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,A1,A1,IC,Anselmo,Anselmo,47,33,True,False,False,/graduacao/quadrodehorarios/turmas/100000447085,turma_e_encontros_exatos
2026-1-TCC00308-B1,2026-1,CC,,CC-P1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,B1,B1,IC,Igor Machado,Igor Machado,49,40,True,False,False,/graduacao/quadrodehorarios/turmas/100000447084,turma_e_encontros_exatos
2026-1-TCC00312-A1,2026-1,CC,,CC-P5,TCC00312,PROJETO DE SOFTWARE,A1,A1,IC,Vania,Vania,61,57,True,False,False,/graduacao/quadrodehorarios/turmas/100000447095,turma_e_encontros_exatos
2026-1-TCC00313-A1,2026-1,CC,,CC-P5,TCC00313,REDES DE COMPUTADORES I,A1,A1,IC,Celio,Celio,62,59,True,False,True,/graduacao/quadrodehorarios/turmas/100000447100,turma_e_encontros_exatos
2026-1-TCC00314-A1,2026-1,CC,,CC-P6,TCC00314,REDES DE COMPUTADORES II,A1,A1,IC,Celio,Celio,56,53,True,False,True,/graduacao/quadrodehorarios/turmas/100000447101,turma_e_encontros_exatos
2026-1-TCC00315-A1,2026-1,CC,,CC-P7,TCC00315,SISTEMAS DISTRIBUÍDOS,A1,A1,IC,Flavia Delicato,Flavia Delicato,60,41,True,False,False,/graduacao/quadrodehorarios/turmas/100000447105,turma_e_encontros_exatos
2026-1-TCC00316-A1,2026-1,CC,,CC-P4,TCC00316,SISTEMAS OPERACIONAIS,A1,A1,IC,Cristina Boeres,Cristina Boeres,60,44,True,False,False,/graduacao/quadrodehorarios/turmas/100000447107,turma_e_encontros_exatos
2026-1-TCC00318-A1,2026-1,CC,,CC-P7,TCC00318,PESQUISA OPERACIONAL,A1,A1,IC,Satoru,Satoru,60,54,True,False,False,/graduacao/quadrodehorarios/turmas/100000447078,turma_e_encontros_exatos
2026-1-TCC00324-A1,2026-1,SI,,SI-P8,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,A1,A1,IC,Luciana,Luciana,54,33,True,False,False,/graduacao/quadrodehorarios/turmas/100000447069,turma_e_encontros_exatos
2026-1-TCC00328-A1,2026-1,CC,,CC-P3,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,A1,A1,IC,Rebeca,Rebeca,60,42,True,False,True,/graduacao/quadrodehorarios/turmas/100000447092,turma_e_encontros_exatos
2026-1-TCC00328-B1,2026-1,CC,,CC-P3,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,B1,B1,IC,Rebeca,Rebeca,62,55,True,False,True,/graduacao/quadrodehorarios/turmas/100000447090,turma_e_encontros_exatos
2026-1-TCC00328-C1,2026-1,CC,,CC-P3,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,C1,C1,IC,Carlos Ribeiro,Carlos Ribeiro,50,18,True,False,False,/graduacao/quadrodehorarios/turmas/100000447091,turma_e_encontros_exatos
2026-1-TCC00330-A1,2026-1,SI,,SI-P7,TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,A1,A1,IC,Flavio Seixas,Flavio Seixas,51,47,True,False,False,/graduacao/quadrodehorarios/turmas/100000447077,turma_e_encontros_exatos
2026-1-TCC00331-A1,2026-1,SI,,SI-P3,TCC00331,ESTRUTURAS DE DADOS PARA SI,A1,A1,IC,Igor Machado,Igor Machado,45,33,True,False,False,/graduacao/quadrodehorarios/turmas/100000447057,turma_e_encontros_exatos
2026-1-TCC00331-B1,2026-1,SI,,SI-P3,TCC00331,ESTRUTURAS DE DADOS PARA SI,B1,B1,IC,Raphael Machado,Raphael Machado,45,37,True,False,False,/graduacao/quadrodehorarios/turmas/100000447056,turma_e_encontros_exatos
2026-1-TCC00332-A1,2026-1,SI,,SI-P1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,A1,IC,Leo Cruz,Leo Cruz,43,37,True,False,True,/graduacao/quadrodehorarios/turmas/100000447061,turma_e_encontros_exatos
2026-1-TCC00332-B1,2026-1,SI,,SI-P1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,B1,IC,Leo Cruz,Leo Cruz,40,31,True,False,False,/graduacao/quadrodehorarios/turmas/100000447062,turma_e_encontros_exatos
2026-1-TCC00334-A1,2026-1,SI,,SI-P4,TCC00334,PRINCÍPIOS DE BANCO DE DADOS,A1,A1,IC,Daniel,Daniel,63,61,True,False,True,/graduacao/quadrodehorarios/turmas/100000447079,turma_e_encontros_exatos
2026-1-TCC00335-A1,2026-1,SI,,SI-P5,TCC00335,PROJETO DE BANCO DE DADOS PARA SI,A1,A1,IC,Marcos Bedo,Marcos Bedo,58,47,True,False,True,/graduacao/quadrodehorarios/turmas/100000447094,turma_e_encontros_exatos
2026-1-TCC00336-A1,2026-1,SI,,SI-P6,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,A1,A1,IC,Daniel,Daniel,54,54,True,False,True,/graduacao/quadrodehorarios/turmas/100000447040,turma_e_encontros_exatos
2026-1-TCC00336-Z1,2026-1,SI,,SI-P6,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,Z1,Z1,IC,Marcos Bedo,Marcos Bedo,59,34,True,False,True,/graduacao/quadrodehorarios/turmas/100000447041,turma_e_encontros_exatos
