semestre,codigo,disciplina,curso,periodo_curricular,turma,turma_url,horarios,vagas_por_curso,quantidade_secoes_alternativas,vinculada_ao_pdf,tratamento_no_modelo
2026-1,GAN00140,ÁLGEBRA LINEAR,CC;SI,,K1,/graduacao/quadrodehorarios/turmas/100000450696,Seg 16:00-18:00; Qua 16:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""43"",""curso"":""Engenharia Agrícola e Ambiental"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""38"",""curso"":""Engenharia Elétrica"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":30,""vagas_vestibulando"":0,""vagas"":30,""inscritos_regular"":28,""inscritos_vestibulando"":0,""inscritos"":28},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""42"",""curso"":""Engenharia de Produção"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""37"",""curso"":""Engenharia Civil"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""56"",""curso"":""Eng. de Recursos Hídricos e Meio Ambiente"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""27"",""curso"":""Engenharia Química"",""vagas_regular"":11,""vagas_vestibulando"":0,""vagas"":11,""inscritos_regular"":11,""inscritos_vestibulando"":0,""inscritos"":11},{""codigo_curso"":""51"",""curso"":""Engenharia de Petróleo"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2},{""codigo_curso"":""50"",""curso"":""Geofísica"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""40"",""curso"":""Engenharia Mecânica"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3}]",2,False,
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,SI,,C1,/graduacao/quadrodehorarios/turmas/100000450702,Seg 16:00-18:00; Qua 16:00-18:00,"[{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":28,""vagas_vestibulando"":0,""vagas"":28,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7},{""codigo_curso"":""22"",""curso"":""Ciências Contábeis"",""vagas_regular"":11,""vagas_vestibulando"":0,""vagas"":11,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":15,""vagas_vestibulando"":0,""vagas"":15,""inscritos_regular"":12,""inscritos_vestibulando"":0,""inscritos"":12},{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""48"",""curso"":""Biomedicina"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",4,False,
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,SI,,D1,/graduacao/quadrodehorarios/turmas/100000450703,Seg 16:00-18:00; Qua 16:00-18:00,"[{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":7,""vagas_vestibulando"":0,""vagas"":7,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""22"",""curso"":""Ciências Contábeis"",""vagas_regular"":4,""vagas_vestibulando"":44,""vagas"":48,""inscritos_regular"":1,""inscritos_vestibulando"":37,""inscritos"":38},{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":4,""vagas_vestibulando"":0,""vagas"":4,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""117"",""curso"":""Administração Pública"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",4,False,
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,SI,,F1,/graduacao/quadrodehorarios/turmas/100000450705,Seg 18:00-20:00; Qua 18:00-20:00,"[{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""48"",""curso"":""Biomedicina"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":52,""vagas_vestibulando"":5,""vagas"":57,""inscritos_regular"":31,""inscritos_vestibulando"":1,""inscritos"":32}]",4,False,
2026-1,GAN00144,COMPLEMENTOS DE MATEMÁTICA APLICADA,SI,,G1,/graduacao/quadrodehorarios/turmas/100000450706,Seg 20:00-22:00; Qua 20:00-22:00,"[{""codigo_curso"":""95"",""curso"":""Ciência Ambiental"",""vagas_regular"":0,""vagas_vestibulando"":1,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":17,""vagas_vestibulando"":0,""vagas"":17,""inscritos_regular"":15,""inscritos_vestibulando"":0,""inscritos"":15},{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":42,""vagas_vestibulando"":0,""vagas"":42,""inscritos_regular"":37,""inscritos_vestibulando"":0,""inscritos"":37}]",4,False,
2026-1,GAN00166,LÓGICA PARA A CIÊNCIA DA COMPUTAÇÃO,CC,,A1,/graduacao/quadrodehorarios/turmas/100000450726,Seg 14:00-16:00; Qua 14:00-16:00,"[{""codigo_curso"":""54"",""curso"":""Estatística"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":3,""inscritos_vestibulando"":0,""inscritos"":3},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":53,""vagas_vestibulando"":2,""vagas"":55,""inscritos_regular"":45,""inscritos_vestibulando"":2,""inscritos"":47}]",2,False,
2026-1,GAN00166,LÓGICA PARA A CIÊNCIA DA COMPUTAÇÃO,CC,,B1,/graduacao/quadrodehorarios/turmas/100000450728,Ter 14:00-16:00; Qui 14:00-16:00,"[{""codigo_curso"":""54"",""curso"":""Estatística"",""vagas_regular"":5,""vagas_vestibulando"":0,""vagas"":5,""inscritos_regular"":4,""inscritos_vestibulando"":0,""inscritos"":4},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":55,""vagas_vestibulando"":0,""vagas"":55,""inscritos_regular"":51,""inscritos_vestibulando"":0,""inscritos"":51}]",2,False,
2026-1,GAN00167,MATEMÁTICA DISCRETA,CC,,A1,/graduacao/quadrodehorarios/turmas/100000450729,Seg 14:00-16:00; Qua 14:00-16:00,"[{""codigo_curso"":""38"",""curso"":""Engenharia Elétrica"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""123"",""curso"":""Inteligência Artificial e Ciência de Dados"",""vagas_regular"":0,""vagas_vestibulando"":20,""vagas"":20,""inscritos_regular"":0,""inscritos_vestibulando"":17,""inscritos"":17},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":18,""vagas_vestibulando"":0,""vagas"":18,""inscritos_regular"":14,""inscritos_vestibulando"":0,""inscritos"":14},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":0,""vagas_vestibulando"":1,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":1,""inscritos"":1},{""codigo_curso"":""37"",""curso"":""Engenharia Civil"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""97"",""curso"":""Disciplina Isolada"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",3,False,
2026-1,GAN00167,MATEMÁTICA DISCRETA,CC,,B1,/graduacao/quadrodehorarios/turmas/100000450730,Seg 14:00-16:00; Qua 14:00-16:00,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":4,""vagas_vestibulando"":46,""vagas"":50,""inscritos_regular"":2,""inscritos_vestibulando"":45,""inscritos"":47}]",3,False,
2026-1,GAN00167,MATEMÁTICA DISCRETA,CC,,C1,/graduacao/quadrodehorarios/turmas/100000450731,Seg 14:00-16:00; Qua 14:00-16:00,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":25,""vagas_vestibulando"":1,""vagas"":26,""inscritos_regular"":16,""inscritos_vestibulando"":1,""inscritos"":17}]",3,False,
2026-1,GET00116,FUNDAMENTOS DE ESTATISTICA APLICADA,SI,,C2,/graduacao/quadrodehorarios/turmas/100000449849,Seg 16:00-18:00; Qua 16:00-18:00,"[{""codigo_curso"":""23"",""curso"":""Administração"",""vagas_regular"":24,""vagas_vestibulando"":0,""vagas"":24,""inscritos_regular"":21,""inscritos_vestibulando"":0,""inscritos"":21},{""codigo_curso"":""117"",""curso"":""Administração Pública"",""vagas_regular"":26,""vagas_vestibulando"":0,""vagas"":26,""inscritos_regular"":23,""inscritos_vestibulando"":0,""inscritos"":23},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":8,""vagas_vestibulando"":1,""vagas"":9,""inscritos_regular"":7,""inscritos_vestibulando"":0,""inscritos"":7}]",5,False,
