turma_id,semestre,codigo,disciplina,usa_laboratorio_observado,recursos_observados,observacao_fontes,exige_laboratorio,recursos_requeridos,requisito_fonte
2026-1-TCC00337-A1,2026-1,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00361-A1,2026-1,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00301-AA,2026-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00301-BA,2026-1,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00344-AA,2026-1,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00346-AA,2026-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00346-BA,2026-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00355-EA,2026-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00355-FA,2026-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00304-A1,2026-1,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00305-A1,2026-1,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00306-A1,2026-1,TCC00306,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00330-A1,2026-1,TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00318-A1,2026-1,TCC00318,PESQUISA OPERACIONAL,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00368-A1,2026-1,TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00334-A1,2026-1,TCC00334,PRINCÍPIOS DE BANCO DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00307-B1A1,2026-1,TCC00307,PROGRAMAÇÃO CIENTÍFICA,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00366-A1,2026-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00366-B1,2026-1,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00308-A1,2026-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00308-B1,2026-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00356-A1,2026-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00356-B1,2026-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00347-X1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00347-A1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00347-B1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00328-A1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00328-B1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00357-A1,2026-1,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00335-A1,2026-1,TCC00335,PROJETO DE BANCO DE DADOS PARA SI,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00312-A1,2026-1,TCC00312,PROJETO DE SOFTWARE,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00338-A1,2026-1,TCC00338,PROJETO DE SOFTWARE,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00365-A1,2026-1,TCC00365,QUALIDADE E TESTE DE SOFTWARE,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00359-A1,2026-1,TCC00359,REDES DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00359-Z1,2026-1,TCC00359,REDES DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00313-A1,2026-1,TCC00313,REDES DE COMPUTADORES I,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00314-A1,2026-1,TCC00314,REDES DE COMPUTADORES II,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00341-A1,2026-1,TCC00341,SEGURANÇA DA INFORMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-CGI00004-A1,2026-1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00358-A1,2026-1,TCC00358,SISTEMAS COMPUTACIONAIS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00358-B1,2026-1,TCC00358,SISTEMAS COMPUTACIONAIS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00315-A1,2026-1,TCC00315,SISTEMAS DISTRIBUÍDOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00362-A1,2026-1,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00316-A1,2026-1,TCC00316,SISTEMAS OPERACIONAIS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00242-A1,2026-1,TCC00242,TÓPICOS EM COMPUTAÇÃO II,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00253-A1,2026-1,TCC00253,TÓPICOS ESPECIAIS EM SISTEMAS DE PROGRAMAÇÃO I,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00360-A1,2026-1,TCC00360,VISUALIZAÇÃO DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00205-A1,2026-1,TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-001-SEM-TURMA,2026-1,,Pós: Algebra Linear Computacional,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TIC10001-SEM-TURMA,2026-1,TIC10001,Pós: Análise e Síntese de Algoritmos,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TIC10002-SEM-TURMA,2026-1,TIC10002,Pós: Estrutura de Dados e Algoritmos,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TIC10003-SEM-TURMA,2026-1,TIC10003,Pós: Sistemas de Computação,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TIC10005-SEM-TURMA,2026-1,TIC10005,Pós: Tratamento de Incertezas,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00319-A1,2026-1,TCC00319,ESTRUTURAS DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00319-B1,2026-1,TCC00319,ESTRUTURAS DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00320-A1,2026-1,TCC00320,INTRODUÇÃO A PROJETO DE BANCO DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00320-B1,2026-1,TCC00320,INTRODUÇÃO A PROJETO DE BANCO DE DADOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00328-C1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00325-A1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
